,avg_time,std_time,processes,threads
0,10.851,0.195,1,2
1,7.6955,0.0938,1,4
2,5.535,0.188,1,8
3,5.4746,0.0825,1,16
4,5.7493,0.0727,1,32
5,7.019,0.101,8,2
6,15.45,0.405,8,4
7,36.549,0.618,8,8
8,6.158,0.283,8,16
9,5.9795,0.0719,8,32
10,8.15,0.131,16,2
11,16.643,0.22,16,4
12,37.403,0.435,16,8
13,6.115,0.114,16,16
14,6.2224,0.0541,16,32
15,8.961,0.15,32,2
16,16.987,0.172,32,4
17,38.289,0.713,32,8
18,6.6433,0.0783,32,16
19,6.845,0.122,32,32
20,9.161,0.162,64,2
21,18.11,0.179,64,4
22,37.474,0.203,64,8
23,7.536,0.135,64,16
24,8.268,0.22,64,32
