,avg_time,std_time,processes,threads
0,11.785,0.165,1,2
1,7.0804,0.07,1,4
2,4.9837,0.0234,1,8
3,4.8482,0.0191,1,16
4,4.7726,0.0184,1,32
5,5.3233,0.031,8,2
6,5.1578,0.0128,8,4
7,5.0762,0.014,8,8
8,5.0676,0.0179,8,16
9,5.0301,0.0145,8,32
10,5.4422,0.0192,16,2
11,5.3226,0.0122,16,4
12,5.2546,0.0113,16,8
13,5.2246,0.0138,16,16
14,5.2486,0.019,16,32
15,5.8667,0.0444,32,2
16,5.881,0.121,32,4
17,5.6605,0.0386,32,8
18,5.6584,0.0324,32,16
19,5.4923,0.0385,32,32
20,6.326,0.0208,64,2
21,6.1827,0.018,64,4
22,6.1782,0.0399,64,8
23,6.0961,0.0169,64,16
24,6.1115,0.025,64,32
