,avg_time,std_time,sizes,threads
0,0.0011743,4.74e-05,16,1
1,0.002646,0.000144,32,1
2,0.007624,0.000496,64,1
3,0.024466,0.000292,128,1
4,0.080517,0.000382,256,1
5,0.305823,0.000209,512,1
6,1.206395,0.000621,1024,1
7,4.83512,0.00404,2048,1
8,19.28929,0.00701,4096,1
9,77.1204,0.013,8192,1
10,0.001453,0.000429,16,2
11,0.0016683,6.3e-05,32,2
12,0.004176,0.000158,64,2
13,0.015624,0.000359,128,2
14,0.048284,0.000584,256,2
15,0.177171,0.000504,512,2
16,0.68437,0.00314,1024,2
17,2.73717,0.00206,2048,2
18,10.93729,0.0024,4096,2
19,43.7275,0.0236,8192,2
20,0.002518,0.000387,16,4
21,0.002821,0.000391,32,4
22,0.00343,0.000461,64,4
23,0.008367,0.000428,128,4
24,0.027604,0.000317,256,4
25,0.099148,0.000685,512,4
26,0.378108,0.000464,1024,4
27,1.48687,0.00333,2048,4
28,5.90092,0.00471,4096,4
29,23.54604,0.00759,8192,4
30,0.0014534,3.58e-05,16,8
31,0.0021912,8.15e-05,32,8
32,0.003928,0.000133,64,8
33,0.008271,0.000308,128,8
34,0.025375,0.000473,256,8
35,0.085262,0.000799,512,8
36,0.29566,0.000789,1024,8
37,1.126542,0.000795,2048,8
38,4.38356,0.00265,4096,8
39,17.2528,0.0318,8192,8
40,0.00209,7.69e-05,16,16
41,0.003186,0.000135,32,16
42,0.00562,0.000161,64,16
43,0.011862,0.000374,128,16
44,0.030306,0.000383,256,16
45,0.092881,0.000555,512,16
46,0.312745,0.000533,1024,16
47,1.1627,0.00246,2048,16
48,4.45996,0.0054,4096,16
49,17.42713,0.00361,8192,16
50,0.003468,0.000154,16,32
51,0.005171,0.000159,32,32
52,0.009647,0.000386,64,32
53,0.019291,0.000405,128,32
54,0.04446,0.00152,256,32
55,0.12151,0.00246,512,32
56,0.362942,0.00091,1024,32
57,1.26619,0.0042,2048,32
58,4.66515,0.00859,4096,32
59,17.89191,0.00948,8192,32
