,avg_time,std_time,sizes,threads
0,0.0012181,3.02e-05,16,1
1,0.003029,0.000126,32,1
2,0.009903,0.000247,64,1
3,0.027959,0.000227,128,1
4,0.095835,0.000174,256,1
5,0.366179,0.000199,512,1
6,1.447745,0.000616,1024,1
7,5.79515,0.00361,2048,1
8,23.1626,0.015,4096,1
9,92.5577,0.013,8192,1
10,0.002053,0.00069,16,2
11,0.001887,0.000104,32,2
12,0.005419,0.000254,64,2
13,0.017072,0.000421,128,2
14,0.055812,0.000392,256,2
15,0.207262,0.000472,512,2
16,0.805678,0.000423,1024,2
17,3.21915,0.00459,2048,2
18,12.84976,0.00776,4096,2
19,51.3694,0.0168,8192,2
20,0.002953,0.000774,16,4
21,0.002434,0.000654,32,4
22,0.0030974,7.84e-05,64,4
23,0.008955,0.000276,128,4
24,0.031057,0.000529,256,4
25,0.113531,0.00043,512,4
26,0.433945,0.000641,1024,4
27,1.71652,0.00128,2048,4
28,6.83036,0.00554,4096,4
29,27.2904,0.0175,8192,4
30,0.0014897,5.73e-05,16,8
31,0.0022578,7.26e-05,32,8
32,0.004076,0.000152,64,8
33,0.008645,0.000268,128,8
34,0.02765,0.000596,256,8
35,0.09438,0.00218,512,8
36,0.328289,0.000922,1024,8
37,1.252567,0.000864,2048,8
38,4.89442,0.00333,4096,8
39,19.36043,0.00643,8192,8
40,0.0021095,7.3e-05,16,16
41,0.003277,0.000108,32,16
42,0.005831,0.000216,64,16
43,0.01173,0.000376,128,16
44,0.032784,0.00065,256,16
45,0.10332,0.00203,512,16
46,0.344606,0.00056,1024,16
47,1.290827,0.000651,2048,16
48,4.98147,0.00615,4096,16
49,19.5225,0.011,8192,16
50,0.003433,0.000146,16,32
51,0.00528,0.000263,32,32
52,0.009563,0.00035,64,32
53,0.020352,0.000584,128,32
54,0.04691,0.00144,256,32
55,0.125156,0.000843,512,32
56,0.39401,0.00113,1024,32
57,1.39259,0.00294,2048,32
58,5.18456,0.00674,4096,32
59,19.9696,0.0137,8192,32
