,avg_time,std_time,sizes,threads
0,0.0011991,5.58e-05,16,1
1,0.0023839,9.92e-05,32,1
2,0.007651,0.000399,64,1
3,0.024528,0.000319,128,1
4,0.082294,0.00032,256,1
5,0.309376,0.000567,512,1
6,1.209997,0.000796,1024,1
7,4.81195,0.00439,2048,1
8,19.2056,0.0197,4096,1
9,76.7012,0.0239,8192,1
10,0.0009675,2.26e-05,16,2
11,0.0017835,5.06e-05,32,2
12,0.004787,0.00019,64,2
13,0.015991,0.00029,128,2
14,0.045921,0.000426,256,2
15,0.169395,0.00094,512,2
16,0.63944,0.0017,1024,2
17,2.50761,0.00177,2048,2
18,9.97096,0.00439,4096,2
19,39.8116,0.0201,8192,2
20,0.0008892,2.85e-05,16,4
21,0.0014421,6.68e-05,32,4
22,0.002824,0.000131,64,4
23,0.010374,0.000327,128,4
24,0.031098,0.000439,256,4
25,0.105369,0.000763,512,4
26,0.38947,0.00151,1024,4
27,1.52431,0.00304,2048,4
28,6.02814,0.00448,4096,4
29,24.07684,0.00968,8192,4
30,0.0009535,3.76e-05,16,8
31,0.001255,5.12e-05,32,8
32,0.0025402,8.37e-05,64,8
33,0.007415,0.000196,128,8
34,0.024662,0.00046,256,8
35,0.082502,0.000698,512,8
36,0.28696,0.00235,1024,8
37,1.0741,0.0141,2048,8
38,4.0977,0.0221,4096,8
39,16.2237,0.0504,8192,8
40,0.0011457,4.67e-05,16,16
41,0.0012646,3.7e-05,32,16
42,0.002384,9.74e-05,64,16
43,0.006343,0.000174,128,16
44,0.020545,0.000382,256,16
45,0.071715,0.000988,512,16
46,0.2605,0.00179,1024,16
47,1.01078,0.00626,2048,16
48,3.9153,0.014,4096,16
49,15.6175,0.0753,8192,16
50,0.0015255,5.41e-05,16,32
51,0.0015349,5.6e-05,32,32
52,0.0024402,5.91e-05,64,32
53,0.005826,0.000171,128,32
54,0.018537,0.000389,256,32
55,0.067295,0.000559,512,32
56,0.252238,0.00059,1024,32
57,0.97569,0.00209,2048,32
58,3.85538,0.00552,4096,32
59,15.3571,0.0134,8192,32
