,avg_time,std_time,sizes,threads
0,0.0009507,5.46e-05,16,1
1,0.0027354,8.86e-05,32,1
2,0.008241,0.000431,64,1
3,0.02453,0.000666,128,1
4,0.086964,0.000204,256,1
5,0.327546,0.000614,512,1
6,1.279927,0.000671,1024,1
7,5.09197,0.00149,2048,1
8,20.31926,0.00739,4096,1
9,81.2488,0.0292,8192,1
10,0.0009795,2.72e-05,16,2
11,0.001805,6.82e-05,32,2
12,0.005172,0.000206,64,2
13,0.016537,0.000546,128,2
14,0.051836,0.000513,256,2
15,0.198,0.00125,512,2
16,0.74849,0.00123,1024,2
17,2.95491,0.00141,2048,2
18,11.79007,0.00415,4096,2
19,47.1209,0.013,8192,2
20,0.000955,2.61e-05,16,4
21,0.0014606,4.65e-05,32,4
22,0.003361,0.000192,64,4
23,0.010147,0.000251,128,4
24,0.031245,0.000539,256,4
25,0.1121,0.00103,512,4
26,0.41856,0.00161,1024,4
27,1.63337,0.00166,2048,4
28,6.48341,0.00707,4096,4
29,25.8531,0.0111,8192,4
30,0.000942,3.66e-05,16,8
31,0.0012553,3.15e-05,32,8
32,0.0026194,7.35e-05,64,8
33,0.007523,0.000255,128,8
34,0.02354,0.00044,256,8
35,0.085046,0.000819,512,8
36,0.30792,0.00315,1024,8
37,1.10333,0.00623,2048,8
38,4.4199,0.0638,4096,8
39,17.0727,0.0633,8192,8
40,0.0010409,4.05e-05,16,16
41,0.0012241,3.36e-05,32,16
42,0.0023253,7.51e-05,64,16
43,0.006314,0.000198,128,16
44,0.020956,0.000204,256,16
45,0.07321,0.00117,512,16
46,0.26965,0.00133,1024,16
47,1.04651,0.00529,2048,16
48,4.1126,0.0173,4096,16
49,16.275,0.0739,8192,16
50,0.001585,6.15e-05,16,32
51,0.001521,4.78e-05,32,32
52,0.002592,9.63e-05,64,32
53,0.005667,0.000225,128,32
54,0.019349,0.00038,256,32
55,0.070463,0.000721,512,32
56,0.262866,0.000986,1024,32
57,1.02328,0.00283,2048,32
58,4.03119,0.00721,4096,32
59,16.0264,0.0445,8192,32
