sizes,avg_time,std_time,allocation_times_avg,allocation_times_std,execution_times_avg,execution_times_std,io_times_avg,io_times_std
16,0.0006411,4.47e-05,7.1967e-06,2.452937218927544e-07,8.12635e-05,1.4442385537022545e-07,6.187840000000001e-05,6.93625582284852e-06
32,0.0007206,5.88e-05,2.5220899999999998e-05,5.8754106316069514e-06,0.00025803990000000004,6.270439216586028e-05,6.23563e-05,1.5597776829086893e-05
64,0.0018443,7.87e-05,0.00011397339999999999,1.1424695288715582e-05,0.0011353778,0.00014771552023927611,0.0001450876,1.7933824043967867e-05
128,0.004871,0.000193,0.0003868907,8.18509288952178e-05,0.0037237258,0.00043297215723688286,0.0003423089,3.67153249568896e-05
256,0.018072,0.000262,0.0019690632999999997,0.00010902818987404136,0.014587438800000001,0.0005910798971006876,0.0009882436000000002,0.00010774038517491943
512,0.057733,0.000621,0.007758248600000001,0.0008531880282028341,0.0455026002,0.0011029411905798781,0.0036379408999999995,3.685368551027149e-05
1024,0.216198,0.00064,0.0254986027,0.0006913786241672574,0.17417894949999999,0.0018270979752583163,0.014487009,7.649005094520443e-05
2048,0.86231,0.00511,0.08718476630000001,0.0012476107999168696,0.6910579646,0.008425543515671817,0.0772395721,0.013955203602699296
4096,3.4324,0.0132,0.3332278798,0.0012600534581519802,2.7675711611,0.0391575493970007,0.3111073033,0.015070679206249677
8192,13.7516,0.0531,1.3161148660000002,0.003549396119275256,11.0660946667,0.15652342637676794,1.3000989852,0.016525659745940113
