,avg_time,std_time,sizes,threads
0,0.0013241,4.42e-05,16,1
1,0.002972,0.000114,32,1
2,0.009275,0.000429,64,1
3,0.027991,0.000605,128,1
4,0.097453,0.000411,256,1
5,0.370036,0.000404,512,1
6,1.448189,0.000645,1024,1
7,5.76429,0.00145,2048,1
8,23.03376,0.00568,4096,1
9,92.0888,0.0303,8192,1
10,0.0009611,2.31e-05,16,2
11,0.0018606,4.16e-05,32,2
12,0.005618,0.000245,64,2
13,0.018205,0.000397,128,2
14,0.056388,0.000449,256,2
15,0.20928,0.00137,512,2
16,0.79927,0.00121,1024,2
17,3.16166,0.00214,2048,2
18,12.60858,0.00704,4096,2
19,50.372,0.0136,8192,2
20,0.0009234,2.53e-05,16,4
21,0.0014293,7.25e-05,32,4
22,0.003198,0.000138,64,4
23,0.011392,0.00056,128,4
24,0.032889,0.000428,256,4
25,0.118052,0.000734,512,4
26,0.44014,0.00241,1024,4
27,1.72259,0.00723,2048,4
28,6.81448,0.00777,4096,4
29,27.1705,0.0102,8192,4
30,0.0009473,3.44e-05,16,8
31,0.001337,3.84e-05,32,8
32,0.0028089,9.95e-05,64,8
33,0.008484,0.000265,128,8
34,0.027747,0.000349,256,8
35,0.09197,0.0015,512,8
36,0.33347,0.00306,1024,8
37,1.255,0.0154,2048,8
38,4.6746,0.0215,4096,8
39,18.5927,0.0858,8192,8
40,0.0011015,3.44e-05,16,16
41,0.0013453,3.79e-05,32,16
42,0.0025477,6.77e-05,64,16
43,0.007271,0.000264,128,16
44,0.022617,0.000397,256,16
45,0.080187,0.000973,512,16
46,0.29792,0.00147,1024,16
47,1.14855,0.00414,2048,16
48,4.5751,0.0118,4096,16
49,18.0091,0.0295,8192,16
50,0.0015243,5.68e-05,16,32
51,0.0015702,4.72e-05,32,32
52,0.00272,0.000106,64,32
53,0.006445,0.000262,128,32
54,0.021199,0.000267,256,32
55,0.078184,0.000984,512,32
56,0.289327,0.000763,1024,32
57,1.13392,0.00195,2048,32
58,4.47689,0.00497,4096,32
59,17.8099,0.0111,8192,32
