sizes,avg_time,std_time,allocation_times_avg,allocation_times_std,execution_times_avg,execution_times_std,io_times_avg,io_times_std
16,0.0009787,4.85e-05,6.8832000000000004e-06,9.389342681998566e-07,0.000473943,7.156432736217117e-05,5.63618e-05,7.746590899227867e-06
32,0.002451,0.00011,2.9410699999999993e-05,5.47985041857896e-06,0.0018862106,0.00027283437434282357,7.304279999999998e-05,9.7377752777521e-06
64,0.007397,0.000478,0.00010773259999999999,2.128623992254151e-05,0.0067073969999999995,0.001316554072098522,0.0001257198,2.7686509103893898e-05
128,0.023763,0.000297,0.00045825710000000003,1.8348366196748954e-05,0.0225677433,0.0008824762910598842,0.00026325990000000004,6.295527101839843e-06
256,0.080813,0.000342,0.001960749,3.336607590053102e-05,0.07731545140000001,0.000985186018781753,0.0009341298000000002,9.828038021904476e-06
512,0.306372,0.000242,0.008135165699999999,0.00019899809404366154,0.29365810289999994,0.000804021854064604,0.0036457105000000005,3.587853578464426e-05
1024,1.207506,0.000624,0.025770277299999998,0.0005363975574290122,1.1651387924,0.0016266984477627245,0.014523337600000002,2.6688585632063923e-05
2048,4.83499,0.00432,0.08794261090000001,0.0008823452999092202,4.6626505797,0.005619231071483026,0.07729594619999999,0.010416696571860859
4096,19.3068,0.0136,0.3345593158,0.0009144872366289061,18.6337586322,0.036139750193889826,0.3180407824,0.013324358721495143
8192,77.2188,0.0421,1.3181907775,0.003387951573298438,74.5217788551,0.12849194195766658,1.3093813727,0.016157608248570432
