sizes,avg_time,std_time,allocation_times_avg,allocation_times_std,execution_times_avg,execution_times_std,io_times_avg,io_times_std
16,0.0009123,6.76e-05,6.3841e-06,1.3081896231051523e-06,0.0004452015,9.26434934210169e-05,5.35275e-05,1.2383045160621841e-05
32,0.002494,0.000123,2.8885900000000004e-05,4.338427283013973e-06,0.0019386561999999996,0.00030500193008071275,7.09978e-05,1.19590540411857e-05
64,0.008186,0.000326,0.0001258028,2.0389179835393085e-05,0.007433682300000001,0.0009092121888771674,0.0001307312,1.8681151596194487e-05
128,0.025342,0.000244,0.0004609264,1.685003982309833e-05,0.0241544791,0.0007368416882308505,0.00026442990000000003,7.184342356124189e-06
256,0.085519,0.000168,0.0019442960000000003,3.31123223770245e-05,0.0820949687,0.0005131137511809753,0.000933698,1.2122578719067992e-05
512,0.324027,0.000397,0.0081234738,0.0005761434357305133,0.3113150402,0.0009960824034547337,0.0036587734,6.805518705609435e-05
1024,1.27907,0.00113,0.0251956395,0.0015569839389372804,1.2370603678,0.0019411120260778446,0.0147717836,0.0007561069162631962
2048,5.12344,0.00338,0.0878314302,0.0007287189594190368,4.9533824139,0.009865731324745518,0.0752673663,0.001614895714486792
4096,20.4709,0.0136,0.3342378141999999,0.0009300868713329681,19.8064866731,0.034166506056037084,0.3095847117,0.010146749793262452
8192,81.8366,0.0436,1.3181510495999997,0.0032328472444006296,79.14561682219998,0.12651243577308077,1.3029121038,0.015258579604998403
